NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
305	1191.271	24.156	187.971	26.437	0.056	0.897	20000.0
306	1157.674	23.657	187.721	26.176	0.054	0.897	20000.0
307	1179.83	23.949	190.389	26.337	0.054	0.899	20000.0
308	1175.017	24.092	187.907	26.518	0.056	0.896	20000.0
309	1178.896	23.759	186.137	26.071	0.054	0.899	40000.0
310	1136.96	23.459	180.309	25.536	0.053	0.902	30000.0
311	1178.456	24.098	187.276	26.339	0.056	0.897	30000.0
312	1172.434	23.693	183.421	25.846	0.054	0.902	30000.0
313	1185.088	23.793	191.136	26.393	0.054	0.899	20000.0
314	1155.577	23.585	183.449	25.87	0.054	0.9	40000.0
315	1187.174	24.339	192.709	26.841	0.057	0.896	20000.0
316	1175.758	23.916	187.921	26.213	0.053	0.897	20000.0
317	1193.237	24.151	191.358	26.443	0.054	0.898	20000.0
318	1175.453	23.913	189.834	26.327	0.055	0.899	30000.0
319	1169.125	23.973	191.311	26.817	0.056	0.897	30000.0
320	1176.808	24.041	187.563	26.13	0.055	0.9	20000.0
321	1172.495	23.666	187.115	25.829	0.052	0.902	20000.0
322	1176.012	23.932	187.397	26.328	0.055	0.899	30000.0
323	1178.071	24.085	188.899	26.433	0.056	0.898	30000.0
324	1160.31	23.604	187.468	26.146	0.054	0.899	20000.0
325	1151.8	23.326	185.077	25.908	0.053	0.901	40000.0
326	1152.507	23.779	183.119	26.106	0.054	0.9	50000.0
327	1176.771	23.878	184.764	26.16	0.055	0.899	50000.0
328	1193.575	23.942	192.046	26.714	0.055	0.897	30000.0
329	1182.913	23.863	187.034	26.155	0.055	0.9	20000.0
330	1141.86	23.338	180.78	25.546	0.053	0.905	20000.0
331	1195.054	24.174	191.919	26.465	0.055	0.896	40000.0
332	1149.042	23.277	183.921	25.7	0.053	0.903	20000.0
333	1170.522	23.911	185.159	26.085	0.055	0.9	20000.0
334	1171.482	24.05	185.98	26.407	0.057	0.897	30000.0
335	1166.934	23.911	185.44	26.226	0.056	0.9	30000.0
336	1179.242	24.0	190.999	26.277	0.056	0.9	30000.0
337	1178.879	24.018	187.499	26.222	0.055	0.899	20000.0
338	1188.538	24.175	192.574	26.806	0.056	0.895	20000.0
339	1154.595	23.281	186.816	25.877	0.052	0.9	30000.0
340	1170.299	24.022	185.736	26.347	0.057	0.899	20000.0
341	1190.436	24.067	187.133	26.127	0.054	0.899	30000.0
342	1165.143	23.611	186.925	26.08	0.054	0.9	20000.0
343	1189.058	24.044	189.333	26.32	0.054	0.898	30000.0
344	1186.427	24.231	188.65	26.415	0.056	0.897	20000.0
